command_list,tool,mitre_stage,intent,category
"masscan 192.168.56.1 -p80	 masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 45.67.23.12 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p22,80,443	 masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 192.168.56.1 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 172.16.0.0/16 -p22,80,443	 masscan 192.168.1.0/24 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 23.192.13.14 -p0-65535 --rate 5000	 masscan 172.16.0.0/16 -p80	 masscan 45.67.23.12 -p22,80,443	 masscan 10.10.10.10 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p80	 masscan 192.168.1.0/24 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 192.168.56.1 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p22,80,443	 masscan 192.168.56.1 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p22,80,443	 masscan 23.192.13.14 -p80	 masscan 192.168.1.0/24 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p80	 masscan 192.168.1.0/24 -p0-65535 --rate 5000	 masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.56.1 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p0-65535 --rate 5000	 masscan 192.168.56.1 -p22,80,443	 masscan 10.10.10.10 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p22,80,443	 masscan 10.0.0.0/24 -p80	 masscan 172.16.0.0/16 -p1-65535 --rate 10000	 masscan 10.0.0.0/24 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 45.67.23.12 -p80	 masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 192.168.1.0/24 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p22,80,443	 masscan 192.168.56.1 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p22,80,443	 masscan 192.168.1.0/24 -p0-65535 --rate 5000	 masscan 192.168.1.0/24 -p80	 masscan 45.67.23.12 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p22,80,443	 masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p22,80,443	 masscan 10.10.10.10 -p80	 masscan 10.0.0.0/24 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p22,80,443	 masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 172.16.0.0/16 -p80	 masscan 23.192.13.14 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p22,80,443	 masscan 10.0.0.0/24 -p80	 masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p22,80,443	 masscan 10.10.10.10 -p1-65535 --rate 10000	 masscan 45.67.23.12 -p80	 masscan 192.168.1.0/24 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 45.67.23.12 -p22,80,443	 masscan 192.168.1.0/24 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 192.168.1.0/24 -p80	 masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.56.1 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p80	 masscan 10.10.10.10 -p22,80,443	 masscan 23.192.13.14 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p80	 masscan 172.16.0.0/16 -p0-65535 --rate 5000	 masscan 192.168.56.1 -p22,80,443	 masscan 10.10.10.10 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p22,80,443	 masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 10.10.10.10 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p80	 masscan 192.168.56.1 -p22,80,443	 masscan 10.10.10.10 -p1-65535 --rate 10000	 masscan 45.67.23.12 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p22,80,443	 masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 192.168.1.0/24 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 23.192.13.14 -p0-65535 --rate 5000	 masscan 45.67.23.12 -p80	 masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p80	 masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p22,80,443	 masscan 45.67.23.12 -p80	 masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 10.10.10.10 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p80	 masscan 192.168.56.1 -p22,80,443	 masscan 192.168.56.1 -p0-65535 --rate 5000	 masscan 10.10.10.10 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p80	 masscan 192.168.56.1 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p1-65535 --rate 10000	 masscan 45.67.23.12 -p80	 masscan 192.168.1.0/24 -p22,80,443	 masscan 192.168.1.0/24 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.56.1 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 172.16.0.0/16 -p22,80,443	 masscan 192.168.1.0/24 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.56.1 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p80	 masscan 10.0.0.0/24 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p22,80,443	 masscan 192.168.56.1 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p80	 masscan 192.168.56.1 -p0-65535 --rate 5000	 masscan 45.67.23.12 -p22,80,443	 masscan 192.168.1.0/24 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p80	 masscan 172.16.0.0/16 -p22,80,443	 masscan 23.192.13.14 -p0-65535 --rate 5000	 masscan 172.16.0.0/16 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p80	 masscan 45.67.23.12 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p22,80,443	 masscan 192.168.1.0/24 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p22,80,443	 masscan 192.168.56.1 -p80	 masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 192.168.1.0/24 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p80	 masscan 45.67.23.12 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p22,80,443	 masscan 10.10.10.10 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p80	 masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 45.67.23.12 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p1-65535 --rate 10000	 masscan 10.0.0.0/24 -p80	 masscan 192.168.1.0/24 -p22,80,443	 masscan 10.0.0.0/24 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p22,80,443	 masscan 10.10.10.10 -p80	 masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p80	 masscan 45.67.23.12 -p22,80,443	 masscan 172.16.0.0/16 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 23.192.13.14 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p80	 masscan 45.67.23.12 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 23.192.13.14 -p22,80,443	 masscan 192.168.56.1 -p0-65535 --rate 5000	 masscan 192.168.1.0/24 -p80	 masscan 172.16.0.0/16 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.56.1 -p80	 masscan 23.192.13.14 -p22,80,443	 masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 23.192.13.14 -p0-65535 --rate 5000	 masscan 10.10.10.10 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p22,80,443	 masscan 192.168.56.1 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.56.1 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p80	 masscan 45.67.23.12 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.56.1 -p22,80,443	 masscan 192.168.1.0/24 -p80	 masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 192.168.1.0/24 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p22,80,443	 masscan 192.168.56.1 -p80	 masscan 10.10.10.10 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p22,80,443	 masscan 45.67.23.12 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p80	 masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 45.67.23.12 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 10.10.10.10 -p80	 masscan 192.168.56.1 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 10.0.0.0/24 -p22,80,443	 masscan 192.168.56.1 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 45.67.23.12 -p22,80,443	 masscan 23.192.13.14 -p80	 masscan 10.0.0.0/24 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p80	 masscan 192.168.1.0/24 -p0-65535 --rate 5000	 masscan 10.10.10.10 -p22,80,443	 masscan 172.16.0.0/16 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.56.1 -p80	 masscan 192.168.56.1 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p22,80,443	 masscan 23.192.13.14 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p22,80,443	 masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.56.1 -p80	 masscan 10.10.10.10 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p80	 masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p22,80,443	 masscan 192.168.1.0/24 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p80	 masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p80	 masscan 23.192.13.14 -p22,80,443	 masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 45.67.23.12 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.56.1 -p80	 masscan 45.67.23.12 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p0-65535 --rate 5000	 masscan 192.168.1.0/24 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p22,80,443	 masscan 10.0.0.0/24 -p80	 masscan 45.67.23.12 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p22,80,443	 masscan 192.168.56.1 -p80	 masscan 172.16.0.0/16 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 45.67.23.12 -p80	 masscan 172.16.0.0/16 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p22,80,443	 masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p80	 masscan 45.67.23.12 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p22,80,443	 masscan 45.67.23.12 -p80	 masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 10.10.10.10 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 172.16.0.0/16 -p0-65535 --rate 5000	 masscan 172.16.0.0/16 -p80	 masscan 192.168.1.0/24 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 23.192.13.14 -p0-65535 --rate 5000	 masscan 10.10.10.10 -p80	 masscan 10.10.10.10 -p1-65535 --rate 10000	 masscan 172.16.0.0/16 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.56.1 -p80	 masscan 192.168.56.1 -p22,80,443	 masscan 192.168.56.1 -p1-65535 --rate 10000	 masscan 10.0.0.0/24 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p0-65535 --rate 5000	 masscan 192.168.56.1 -p80	 masscan 192.168.1.0/24 -p22,80,443	 masscan 10.0.0.0/24 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 192.168.56.1 -p80	 masscan 10.10.10.10 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p80	 masscan 192.168.1.0/24 -p22,80,443	 masscan 192.168.56.1 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p22,80,443	 masscan 10.10.10.10 -p80	 masscan 192.168.56.1 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p22,80,443	 masscan 192.168.56.1 -p1-65535 --rate 10000	 masscan 45.67.23.12 -p80	 masscan 192.168.1.0/24 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 172.16.0.0/16 -p0-65535 --rate 5000	 masscan 45.67.23.12 -p80	 masscan 10.10.10.10 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 23.192.13.14 -p80	 masscan 10.0.0.0/24 -p22,80,443	 masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p80	 masscan 192.168.56.1 -p22,80,443	 masscan 192.168.1.0/24 -p0-65535 --rate 5000	 masscan 172.16.0.0/16 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 45.67.23.12 -p22,80,443	 masscan 192.168.56.1 -p80	 masscan 45.67.23.12 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p22,80,443	 masscan 192.168.56.1 -p80	 masscan 192.168.56.1 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p80	 masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p22,80,443	 masscan 45.67.23.12 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p80	 masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 10.10.10.10 -p22,80,443	 masscan 45.67.23.12 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p22,80,443	 masscan 45.67.23.12 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p80	 masscan 45.67.23.12 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p22,80,443	 masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 10.10.10.10 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p22,80,443	 masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 10.0.0.0/24 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p80	 masscan 23.192.13.14 -p22,80,443	 masscan 192.168.56.1 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p22,80,443	 masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p22,80,443	 masscan 45.67.23.12 -p80	 masscan 172.16.0.0/16 -p1-65535 --rate 10000	 masscan 192.168.1.0/24 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p22,80,443	 masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p22,80,443	 masscan 192.168.56.1 -p1-65535 --rate 10000	 masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 192.168.1.0/24 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p80	 masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 192.168.56.1 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p22,80,443	 masscan 192.168.1.0/24 -p80	 masscan 172.16.0.0/16 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p22,80,443	 masscan 172.16.0.0/16 -p1-65535 --rate 10000	 masscan 10.0.0.0/24 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 10.10.10.10 -p22,80,443	 masscan 172.16.0.0/16 -p1-65535 --rate 10000	 masscan 45.67.23.12 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p0-65535 --rate 5000	 masscan 192.168.56.1 -p22,80,443	 masscan 172.16.0.0/16 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p22,80,443	 masscan 172.16.0.0/16 -p0-65535 --rate 5000	 masscan 172.16.0.0/16 -p80	 masscan 172.16.0.0/16 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 10.0.0.0/24 -p22,80,443	 masscan 45.67.23.12 -p80	 masscan 192.168.56.1 -p1-65535 --rate 10000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 45.67.23.12 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p80	 masscan 10.0.0.0/24 -p22,80,443	 masscan 45.67.23.12 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p22,80,443	 masscan 45.67.23.12 -p0-65535 --rate 5000	 masscan 45.67.23.12 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p80	 masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p0-65535 --rate 5000	 masscan 192.168.56.1 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 23.192.13.14 -p0-65535 --rate 5000	 masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 45.67.23.12 -p22,80,443	 masscan 10.0.0.0/24 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.1.0/24 -p1-65535 --rate 10000	 masscan 45.67.23.12 -p22,80,443	 masscan 192.168.1.0/24 -p80	 masscan 10.10.10.10 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 192.168.56.1 -p22,80,443	 masscan 10.10.10.10 -p1-65535 --rate 10000	 masscan 10.0.0.0/24 -p80	 masscan 172.16.0.0/16 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 23.192.13.14 -p80	 masscan 10.10.10.10 -p22,80,443	 masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 10.10.10.10 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p1-65535 --rate 10000	 masscan 23.192.13.14 -p80	 masscan 10.0.0.0/24 -p0-65535 --rate 5000	 masscan 192.168.1.0/24 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.0.0.0/24 -p22,80,443	 masscan 23.192.13.14 -p0-65535 --rate 5000	 masscan 10.10.10.10 -p1-65535 --rate 10000	 masscan 10.0.0.0/24 -p80",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 172.16.0.0/16 -p1-65535 --rate 10000	 masscan 172.16.0.0/16 -p22,80,443	 masscan 10.10.10.10 -p80	 masscan 10.10.10.10 -p0-65535 --rate 5000",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
"masscan 10.10.10.10 -p80	 masscan 192.168.56.1 -p0-65535 --rate 5000	 masscan 23.192.13.14 -p1-65535 --rate 10000	 masscan 192.168.56.1 -p22,80,443",masscan,Discovery,Perform high-speed port scans,High-Speed Port Scanning
